State,SERI index
Massachusetts,4.82
Minnesota,4.06
New Jersey,4.04
New Hampshire,4.01
New York,3.94
Virginia,3.73
Maryland,3.57
Connecticut,3.28
Indiana,3.28
Maine,3.24
Florida,3.13
Illinois,3.08
South Dakota,3.08
Wisconsin,3.06
Colorado,3.04
Kansas,3
Kentucky,3
Vermont,2.93
Georgia,2.88
Washington,2.86
Utah,2.85
Pennsylvania,2.8
Tennessee,2.67
Ohio,2.64
Delaware,2.6
Michigan,2.6
Oregon,2.58
Wyoming,2.58
Montana,2.53
Idaho,2.47
Texas,2.45
North Dakota,2.4
Missouri,2.39
California,2.38
Rhode Island,2.38
North Carolina,2.34
Hawaii,2.29
Iowa,2.25
Alaska,2.2
South Carolina,2.2
Arkansas,2.14
Oklahoma,2.01
Nebraska,1.97
Nevada,1.93
Arizona,1.91
New Mexico,1.72
Alabama,1.6
Louisiana,1.59
West Virginia,1.58
Mississippi,1.11